"id","where","claim","value","expected","pass"
"R1.16","Results 4.1.1","the two reconcile: 0.053 minus (-0.010) is the 0.062 displacement",0.0620724256924606,0.062,TRUE
"R1.17","Results 4.1.1 / Table S3","confounded regime: beta0 bias 0.049",0.0490399823980023,0.049,TRUE
"R1.18","Results 4.1.1 / Table S3","confounded regime: alpha0 coverage 0.950",0.95,0.95,TRUE
"R1.19","Results 4.1.1 / Table S3","confounded regime: beta1 coverage 0.895",0.895,0.895,TRUE
"R1.20","Discussion 4.2","shared regime: M2 beta0 bias 0.011",0.0113449770364843,0.011,TRUE
"R1.21","Discussion 4.2","shared regime: M2 beta0 coverage 0.870",0.87,0.87,TRUE
"R1.22","Discussion 4.2","independent regime: M2 beta0 bias 0.022",0.0215728975613567,0.022,TRUE
"R1.23","Discussion 4.2","independent regime: M2 beta0 coverage 0.905",0.905,0.905,TRUE
"R1.5","Results 4.1.1","M2 achieved lower WAIC in every replicate",1,1,TRUE
"R1.6","Results 4.1.1","ULOOCV gains 0.0058 / 0.0062 / 0.0024",0.00578238683643912,0.0058,TRUE
"R2.1","Results 4.1.2 / Table 'det-emp'","biotic coefficient 0.419",0.418649578862165,0.419,TRUE
"R2.2","Results 4.1.2","biotic 95% CrI lower 0.310",0.309851637315508,0.31,TRUE
"R2.3","Results 4.1.2","biotic 95% CrI upper 0.523",0.523363898159761,0.523,TRUE
"R2.4","Results 4.1.2","detection probability rises from 0.505 to 0.608",0.504707173347881,0.505,TRUE
"R2.5","Results 4.1.2","detection probability with biotic detection",0.607658122363591,0.608,TRUE
"R2.6","Results 4.1.2","day and tod credible intervals span zero",1,1,TRUE
"R2.7","Results 4.1.2","WAIC M1 9936.5",9936.66668447731,9936.5,TRUE
"R2.8","Results 4.1.2","WAIC M2 9886.0",9886.14526769126,9886,TRUE
"R2.9","Results 4.1.2","ULOOCV improves by 0.008",0.00821704756551012,0.008,TRUE
"R2.10","Results 4.1.2","elevation shift 1.7 posterior SD",1.68512662314251,1.7,TRUE
"R2.11","Results 4.1.2","elevation^2 shift 3.2 posterior SD",3.15917940443562,3.2,TRUE
"R2.12","Results 4.1.2","SD inflation 5.9 (linear)",5.8893724583501,5.9,TRUE
"R2.13","Results 4.1.2","SD inflation 3.8 (quadratic)",3.82064791020006,3.8,TRUE
"R3.1","Results 4.2.1 / Table S3","community beta0 bias -0.087",-0.0868022792221353,-0.087,TRUE
"R3.2","Results 4.2.1 / Table S3","community beta0 coverage 0.87",0.87,0.87,TRUE
"R3.3","Results 4.2.1 / Table S3","community beta1 bias -0.076",-0.0762011762817466,-0.076,TRUE
"R3.4","Results 4.2.1 / Table S3","community beta1 coverage 0.68",0.68,0.68,TRUE
"R3.5","Results 4.2.1","MSOM closer to truth in 45.3% of pairs",45.3333333333333,45.3,TRUE
"R3.6","Results 4.2.1","RMSE 0.247 hierarchical",0.247232022501913,0.247,TRUE
"R3.7","Results 4.2.1","RMSE 0.219 independent",0.219234333914916,0.219,TRUE
"R3.8","Results 4.2.1","RMSE higher under pooling for 11 of 12 species",11,11,TRUE
"R3.9","Results 4.2.1 / Appendix S1","homogeneous-slope run: beta1 coverage 0.84",0.84,0.84,TRUE
"R3.10","Results 4.2.1 / Appendix S1","homogeneous-slope run: beta1 bias -0.050",-0.049831512113414,-0.05,TRUE
"R3.11","Results 4.2.1 / Appendix S1","homogeneous-slope run: beta0 coverage 0.85",0.85,0.85,TRUE
"R3.12","Results 4.2.1 / Appendix S1","homogeneous-slope run: RMSE 0.241 hierarchical",0.240581476303558,0.241,TRUE
"R3.13","Results 4.2.1 / Appendix S1","homogeneous-slope run: RMSE 0.205 independent",0.205344398377117,0.205,TRUE
"R4.1","Results 4.2.2","constrained estimates preserve the ordering by naive frequency",0.982304288677511,0.982,TRUE
"R4.1b","Results 4.2.2","independent fits preserve that ordering less closely",0.888969126173349,0.889,TRUE
"R4.2","Results 4.2.2","nine of twelve species shrunk toward the mean",9,9,TRUE
"R4.7","Results 4.2.2","BLPW naive occupancy 0.096",0.0963035019455253,0.096,TRUE
"R4.11","Results 4.2.2","prevalence ranges from 2.3% to 73.3%",73.313878080415,73.3,TRUE
"R2.14","Results 4.1.2 / Limitations","all twelve species converged under the final mesh",12,12,TRUE
"R7.1","Results 3.1.2 / Limitations","fine-mesh range exceeds the maximum inter-site distance",1,1,TRUE
"R7.2","Results 3.1.2 / Limitations","maximum inter-site distance 7.7 km",7.73886296557937,7.74,TRUE
"R7.3","Results 3.1.2","coarse-fine range difference dwarfs the fine mesh's own spread",36.4127647854816,36,TRUE
"R7.4","Results 3.1.2 / Table 'mesh'","coarse mesh range 3.27 km",3.26761806495116,3.27,TRUE
"R7.5","Results 3.1.2 / Table 'mesh'","coarse mesh sigma 3.09",3.09305694131022,3.09,TRUE
"R7.6","Results 3.1.2 / Table 'mesh'","fine mesh sigma about 14",14.0119200887339,14,TRUE
"R7.7","Results 3.1.2","fine mesh achieved the lower WAIC",1,1,TRUE
"R7.8","Results 3.1.2","M1 coarse range is 42% of the domain diameter",42.2234904466554,42.2,TRUE
"R7.9","Results 3.2.2","MSOM range is 43% of the domain diameter",42.6419231698199,42.6,TRUE
"R8.1","Results 4.2.2 / Table 'cv'","independent log score -0.960",-0.959506654095067,-0.96,TRUE
"R8.2","Results 4.2.2 / Table 'cv'","hierarchical log score -1.053",-1.05290724073786,-1.053,TRUE
"R8.3","Results 4.2.2","paired log-score difference 0.093",0.0934005866427883,0.093,TRUE
"R8.4","Results 4.2.2 / Table 'cv'","independent Brier 0.110",0.110276816384525,0.11,TRUE
"R8.5","Results 4.2.2 / Table 'cv'","hierarchical Brier 0.136",0.135671390702423,0.136,TRUE
"R8.6","Results 4.2.2 / Abstract / Conclusions","independent fitting predicts better for all twelve species",12,12,TRUE
"R6.1","Results 4.1.2 / Table 'missing'","biotic coefficient moves by at most 0.02 posterior SD across treatments",0.0155343153573559,0.02,TRUE
"R6.2","Results 4.1.2","all three treatments use the same 8770 records",1,1,TRUE
"R6.3","Results 4.1.2","WAIC spread across treatments is 0.5",0.517586236070201,0.5,TRUE
"R5.1","Results 4.2.2","probability-scale SD minimum 0.008",0.00842102994452422,0.008,TRUE
"R5.2","Results 4.2.2","probability-scale SD maximum 0.048",0.0476048083181042,0.048,TRUE
"R5.3","Results 4.2.2","SD peaks for BHVI",1,1,TRUE
"R5.4","Results 4.2.2","BHVI mean psi 0.29",0.294761567472162,0.29,TRUE
"R5.5","Results 4.2.2","logit-scale SD correlates -0.54 with prevalence",-0.541189959221484,-0.54,TRUE
"R5.6","Results 4.2.2","NAWA logit-scale SD 0.265",0.265319940295431,0.265,TRUE
"R5.7","Results 4.2.2","BTNW logit-scale SD 0.240",0.240353168347882,0.24,TRUE
"R5.8","Results 4.2.2","hierarchical logit-scale SD range 1.1-fold",1.13293199570158,1.13,TRUE
"R5.9","Results 4.2.2","independent SD minimum 0.209",0.209432137173491,0.209,TRUE
"R5.10","Results 4.2.2","independent SD maximum 0.560",0.560059119460847,0.56,TRUE
"R5.11","Results 4.2.2","independent SD range 2.7-fold",2.67417945984527,2.68,TRUE
"R5.12","Results 4.2.2","smallest independent SD belongs to BTNW",1,1,TRUE
"R5.13","Results 4.2.2","second smallest belongs to BLBW",1,1,TRUE
"R5.14","Results 4.2.2","NAWA independent SD smaller than nine of eleven more frequent species",9,9,TRUE
